#{"t_start": 1652404373.0335238, "env_id": "Discrete2DoF-v0"}
r,l,t
-22745.837665,4000,0.473795
-43592.61119,4000,0.945569
-56332.731348,4000,1.42172
-54246.117905,4000,1.896142
-61180.64431,4000,2.368812
-39618.190424,4000,2.834448
-59713.227082,4000,3.299313
-11558.172599,2768,3.623168
-42340.906639,4000,4.090505
-60739.283128,4000,4.560172
-56758.652872,4000,5.035621
-37792.633043,4000,5.511055
-40253.934434,4000,5.986574
-65503.103451,4000,6.466539
-18727.948555,4000,6.935854
-24493.142712,4000,7.40715
-43606.830374,4000,7.878705
-62666.801613,4000,8.352405
-33747.744795,4000,8.826956
-30306.341562,4000,9.304914
-63552.886436,4000,9.811419
-67618.800168,4000,10.327057
-24180.799801,4000,10.8124
-45258.624885,4000,11.293582
-44605.24554,4000,11.776964
-48965.808059,4000,18.710301
-21812.058583,4000,20.605246
-16761.110889,4000,22.56351
-39732.716272,4000,24.480965
-5893.531071,1788,25.343729
-11193.903981,1190,25.922852
-19542.30749,4000,27.876233
-4722.660653,1049,28.385711
-24327.144181,4000,30.35758
-17999.502469,2742,31.714735
-1627.679937,411,31.920589
-14385.19936,2883,33.386692
-17645.919203,4000,35.480905
-10060.475186,4000,38.201231
-8614.239687,1868,39.131485
-6272.152622,3143,41.332395
-2889.513647,751,42.372423
-20288.948892,4000,44.849321
-1053.513398,465,45.079153
-5289.871777,1731,45.932508
-18197.986248,1461,47.0244
-37816.525655,4000,49.519411
-9039.979773,1345,50.195278
-2051.375447,733,50.733681
-2001.698863,1108,51.606428
-9043.91207,1623,52.417165
-11898.997559,4000,54.88545
-4620.391118,1401,55.910006
-2676.250651,630,56.220881
-3963.269702,1467,56.953463
-625.363241,263,57.082703
-3452.120542,1262,58.119585
-8566.945622,1574,58.903717
-551.464654,330,59.067313
-11027.070007,2743,60.801678
-10123.518191,1487,61.931192
-3198.414055,842,62.338194
-5842.149217,1247,62.962154
-4491.144829,4000,65.485195
-882.294405,632,65.815618
-1485.356757,589,66.601075
-6884.706846,1271,67.237543
-749.22433,1019,67.746411
-11617.398854,1173,68.325121
-1725.171594,419,68.533402
-803.857846,450,68.758495
-646.440253,481,69.254947
-2833.582748,917,69.887699
-3701.648316,1528,70.630714
-5910.87362,1200,71.23184
-6589.417748,2037,72.674664
-6169.337157,1105,73.218673
-13062.29182,1586,74.006695
-6450.643245,815,74.410667
-1415.255739,282,74.548592
-4258.699448,903,77.653312
-4813.842687,3122,79.61408
-2111.888016,723,79.972828
-11123.631558,3773,82.505055
-5971.828219,1002,82.97767
-1776.178269,346,83.146983
-895.7284,304,83.297825
-8410.783592,827,83.704035
-10779.148997,1530,84.74362
-5300.286806,787,85.125624
-2042.463088,429,85.335643
-1002.580193,954,85.808154
-1861.182433,796,86.611524
-627.632882,387,86.793559
-1880.327993,1410,87.499671
-1753.782593,723,87.86679
-4063.693716,1494,89.064298
-2628.766776,773,89.637894
-3460.160912,2294,91.328087
-241.24782,143,91.393301
-7596.84522,1364,92.067135
-1896.083466,724,92.424461
-9471.177485,1444,93.779297
-1233.590462,573,94.057149
-790.765245,551,94.326531
-1123.489089,392,94.608549
-101.755197,70,94.766346
-14.946872,19,94.821476
-404.090425,294,95.355907
-7425.585109,1086,95.879041
-1677.690247,481,96.116901
-4947.52545,926,96.816503
-2279.823345,598,97.398979
-1731.812502,651,97.715443
-6332.116173,1468,98.434252
-795.718232,309,98.943777
-11314.647992,2072,100.166191
-4267.494706,2073,101.779728
-2672.149612,708,102.125056
-7275.435825,1139,103.202919
-4618.601046,788,103.573484
-35.855622,35,103.591003
-3520.284026,775,103.965119
-1633.614072,638,104.378963
-487.450907,291,104.783274
-9578.248603,1717,105.639069
-475.725684,146,105.710076
-4858.849985,984,106.563152
-4734.971965,910,106.983163
-676.748226,283,107.111905
-1851.688471,452,107.319155
-2041.991791,520,108.02687
-2910.949848,636,108.345194
-1892.874954,392,108.530695
-5277.140744,2925,110.444378
-3613.837933,1484,111.174133
-5049.259113,3025,113.043713
-2544.508659,627,113.342036
-3207.687074,704,113.683358
-1044.954495,921,114.527175
-6459.481861,1001,115.001548
-5494.46944,911,115.439304
-578.860366,289,115.579603
-7468.464624,4000,117.824437
-778.522784,316,117.980989
-1386.271298,400,118.17944
-1794.773435,465,118.418546
-165.258609,146,118.493313
-10430.997066,3379,120.620844
-567.81724,165,120.702286
-1837.967552,445,120.937915
-3286.232246,816,121.351864
-5472.934375,980,122.525648
-33.805936,63,122.553446
-1176.988196,448,122.766342
-1496.07863,394,122.95474
-3683.849254,928,123.39907
-2723.185757,931,123.858383
-2341.523404,571,124.1492
-232.886397,168,124.234816
-4565.011461,709,124.978779
-5215.512397,1026,125.863041
-2230.845528,566,126.141243
-4170.975492,679,126.476779
-252.577113,185,126.568227
-210.885764,149,126.639589
-1216.56015,462,126.867821
-8564.091865,1074,127.410899
-812.874441,651,128.227254
-2170.255509,287,128.366199
-2946.043698,624,128.663647
-6291.489576,1084,129.192986
-1782.503885,405,129.434761
-2061.081578,675,130.152382
-3020.561236,3350,132.073767
-7346.694886,1027,132.580819
-1891.683989,567,133.112335
-1209.965808,366,133.47318
-2388.052499,541,133.732857
-1222.502601,407,133.932092
-4698.219762,823,134.334199
-1044.753549,345,134.502473
-983.248996,331,134.667195
-945.50571,367,134.847994
-739.963788,301,134.999751
-380.972837,207,135.101199
-1799.300662,1332,136.434702
-2266.740253,3175,138.508409
-4555.139946,989,138.99795
-3936.088905,651,139.334014
-2717.084416,525,139.991902
-504.603722,209,140.452072
-1137.963534,417,140.654597
-121.56845,59,140.682395
-4647.268717,855,141.091431
